Nuclide,Isomeric,Z,Jp,DecayMode,BranchRatio,Ex_MeV,Q_MeV,Status,Hf_inequality,Hf,Hf_err_u,Hf_err_d,Hf_unit,Abundance_per,Abundance_err_per,Mass,Mass_err,IfSystematics,HalfLife_sec
17C,,6,3/2+,B-,100.00,0,13.167,unstable,EQUAL,193,13,13,MS,,,21.032,0.017,,1.93E-01
17C,,6,3/2+,BN,32.00,0,7.284,unstable,EQUAL,193,13,13,MS,,,21.032,0.017,,1.93E-01
18C,,6,0+,B-,100.00,0,11.812,unstable,EQUAL,92,2,2,MS,,,24.919,0.03,,9.20E-02
18C,,6,0+,BN,31.50,0,8.983,unstable,EQUAL,92,2,2,MS,,,24.919,0.03,,9.20E-02
19C,,6,1/2+,B-,,0,16.559,unstable,EQUAL,49,4,4,MS,,,32.414,0.098,,4.90E-02
19C,,6,1/2+,BN,61.00,0,11.235,unstable,EQUAL,49,4,4,MS,,,32.414,0.098,,4.90E-02
20C,,6,0+,B-,100.00,0,15.792,unstable,EQUAL,14,6,5,MS,,,37.557,0.239,,1.40E-02
20C,,6,0+,BN,72.00,0,13.624,unstable,EQUAL,14,6,5,MS,,,37.557,0.239,,1.40E-02
21C,,6,(1/2+),N,?,0,0.331,unstable,LT,30,,,NS,,,45.643,0.401,S,3.00E-08
22C,,6,0+,B-,100.00,0,21.243,unstable,EQUAL,6.1,1.4,1.2,MS,,,52.136,0.503,S,6.10E-03
22C,,6,0+,BN,61.00,0,19.959,unstable,EQUAL,6.1,1.4,1.2,MS,,,52.136,0.503,S,6.10E-03
22C,,6,0+,B2N,<37.00,0,0,unstable,EQUAL,6.1,1.4,1.2,MS,,,52.136,0.503,S,6.10E-03
23C,,6,,,,,0,unstable,EQUAL,,,,,,,62.671,0.997,S,0.00E+00
10N,,7,,P,100.00,0,2.601,unstable,EQUAL,,,,,,,38.8,0.4,,0.00E+00
11N,,7,1/2+,P,100.00,0,1.316,unstable,EQUAL,0.83,3e-16,3e-16,MEV,,,24.303,0.046,,5.72E-22
12N,,7,1+,EC,100.00,0,17.338,unstable,EQUAL,11.000,16,16,MS,,,17.338,0.001,,1.10E-02
13N,,7,1/2-,EC,100.00,0,2.22,unstable,EQUAL,9.965,0.004,0.004,M,,,5.345,0,,5.98E+02
14N,,7,1+,,,0,0,stable,,,,,,99.636,2e-13,2.8634,0,,0.00E+00
14N,M,7,4-,P,79.00,8.49,0.939,unstable,EQUAL,13.2,2.1,2.1,FS,,,11.3534,0,,1.32E-14
14N,M,7,4-,IT,21.00,8.49,8.49,unstable,EQUAL,13.2,2.1,2.1,FS,,,11.3534,0,,1.32E-14
14N,M,7,5+,P,81.00,8.964,1.413,unstable,EQUAL,73,12,12,FS,,,11.8274,0,,7.30E-14
14N,M,7,5+,IT,19.00,8.964,8.964,unstable,EQUAL,73,12,12,FS,,,11.8274,0,,7.30E-14
14N,M,7,3+,P,80.00,9.129,1.578,unstable,EQUAL,9,4,4,FS,,,11.9924,0,,9.00E-15
14N,M,7,3+,IT,20.00,9.129,9.129,unstable,EQUAL,9,4,4,FS,,,11.9924,0,,9.00E-15
15N,,7,1/2-,,,0,0,stable,,,,,,0.364,0.02,0.1014,0,,0.00E+00
15N,M,7,9/2+,P,,10.6932,0.486,unstable,EQUAL,12,6,6,FS,,,10.7946,0,,1.20E-14
15N,M,7,9/2+,IT,,10.6932,10.693,unstable,EQUAL,12,6,6,FS,,,10.7946,0,,1.20E-14
16N,,7,2-,B-,100.00,0,10.421,unstable,EQUAL,7.13,0.02,0.02,S,,,5.683,0.002,,7.13E+00
16N,,7,2-,BA,1.2E-3,0,0,unstable,EQUAL,7.13,0.02,0.02,S,,,5.683,0.002,,7.13E+00
17N,,7,1/2-,B-,100.00,0,8.68,unstable,EQUAL,4.173,4e-16,4e-16,S,,,7.87,0.015,,4.17E+00
17N,,7,1/2-,BN,95.1,0,4.537,unstable,EQUAL,4.173,4e-16,4e-16,S,,,7.87,0.015,,4.17E+00
18N,,7,1-,B-,100.00,0,13.896,unstable,EQUAL,620,8,8,MS,,,13.113,0.018,,6.20E-01
18N,,7,1-,BA,12.20,0,7.672,unstable,EQUAL,620,8,8,MS,,,13.113,0.018,,6.20E-01
18N,,7,1-,BN,7.00,0,5.852,unstable,EQUAL,620,8,8,MS,,,13.113,0.018,,6.20E-01
19N,,7,,B-,100.00,0,12.527,unstable,EQUAL,336,3,3,MS,,,15.856,0.016,,3.36E-01
19N,,7,,BN,41.80,0,8.572,unstable,EQUAL,336,3,3,MS,,,15.856,0.016,,3.36E-01
20N,,7,2-,B-,100.00,0,17.968,unstable,EQUAL,136,3,3,MS,,,21.765,0.055,,1.36E-01
20N,,7,2-,BN,42.90,0,10.359,unstable,EQUAL,136,3,3,MS,,,21.765,0.055,,1.36E-01
21N,,7,(1/2-),B-,100.00,0,17.188,unstable,EQUAL,83,8,8,MS,,,25.251,0.095,,8.30E-02
21N,,7,(1/2-),BN,90.50,0,13.382,unstable,EQUAL,83,8,8,MS,,,25.251,0.095,,8.30E-02
22N,,7,(0-,1-),B-,100.00,0,22.755,unstable,EQUAL,20,2,2,MS,,,32.038,0.192,,2.00E-02
22N,,7,(0-,1-),BN,33.00,0,15.904,unstable,EQUAL,20,2,2,MS,,,32.038,0.192,,2.00E-02
22N,,7,(0-,1-),B2N,12.00,0,22.755,unstable,EQUAL,20,2,2,MS,,,32.038,0.192,,2.00E-02
23N,,7,,B-,100.00,0,23.783,unstable,EQUAL,14.5,1.4,1.4,MS,,,38.443,0.298,S,1.45E-02
23N,,7,,BN,,0,21.041,unstable,EQUAL,14.5,1.4,1.4,MS,,,38.443,0.298,S,1.45E-02
23N,,7,,B2N,,0,23.783,unstable,EQUAL,14.5,1.4,1.4,MS,,,38.443,0.298,S,1.45E-02
24N,,7,,N,?,0,1.076,unstable,LT,52,,,NS,,,47.543,0.401,S,5.20E-08
25N,,7,,,,,0,unstable,EQUAL,,,,,,,56.504,0.503,S,0.00E+00
12O,,8,0+,P,,0,0.455,unstable,EQUAL,0.40,2.5,2.5,MEV,,,32.047,0.018,,1.19E-21
13O,,8,(3/2-),EC,100.00,0,17.767,unstable,EQUAL,8.58,0.05,0.05,MS,,,23.114,0.009,,8.58E-03
13O,,8,(3/2-),EP,100.00,0,15.823,unstable,EQUAL,8.58,0.05,0.05,MS,,,23.114,0.009,,8.58E-03
14O,,8,0+,EC,100.00,0,5.144,unstable,EQUAL,70.620,0.15,0.15,S,,,8.007,0,,7.06E+01
15O,,8,1/2-,EC,100.00,0,2.754,unstable,EQUAL,122.24,1.6e-13,1.6e-13,S,,,2.855,0,,1.22E+02
16O,,8,0+,,,0,0,stable,,,,,,99.757,0.016,-4.737,0,,0.00E+00
17O,,8,5/2+,,,0,0,stable,,,,,,0.038,0.001,-0.8088,0,,0.00E+00
18O,,8,0+,,,0,0,stable,,,,,,0.205,0.014,-0.7828,0,,0.00E+00
19O,,8,5/2+,B-,100.00,0,4.822,unstable,EQUAL,26.88,0.05,0.05,S,,,3.333,0.002,,2.69E+01
20O,,8,0+,B-,100.00,0,3.815,unstable,EQUAL,13.51,0.05,0.05,S,,,3.796,0,,1.35E+01
21O,,8,(5/2+),B-,100.00,0,8.11,unstable,EQUAL,3.42,0.1,0.1,S,,,8.061,0.012,,3.42E+00
22O,,8,0+,B-,100.00,0,6.491,unstable,EQUAL,2.25,0.09,0.09,S,,,9.281,0.056,,2.25E+00
22O,,8,0+,BN,<22.00,0,1.26,unstable,EQUAL,2.25,0.09,0.09,S,,,9.281,0.056,,2.25E+00
23O,,8,1/2+,B-,100.00,0,11.283,unstable,EQUAL,97,8,8,MS,,,14.62,0.09,,9.70E-02
23O,,8,1/2+,BN,7.00,0,3.748,unstable,EQUAL,97,8,8,MS,,,14.62,0.09,,9.70E-02
24O,,8,0+,B-,100.00,0,11.511,unstable,EQUAL,65,5,5,MS,,,18.5,0.109,,6.50E-02
24O,,8,0+,BN,58.00,0,7.669,unstable,EQUAL,65,5,5,MS,,,18.5,0.109,,6.50E-02
25O,,8,,,,,0,unstable,EQUAL,,,,,,,27.347,0.11,,0.00E+00
26O,,8,0+,N,?,0,0.2,unstable,LT,40,,,NS,,,35.143,0.149,S,4.00E-08
27O,,8,,N,?,,1.17,unstable,LT,260,,,NS,,,44.097,0.596,S,2.60E-07
28O,,8,0+,N,?,,0.824,unstable,LT,100,,,NS,,,52.9,0.699,S,1.00E-07
14F,,9,(2-),P,,0,2.257,unstable,EQUAL,,,,,,,31.963,0.041,,0.00E+00
15F,,9,(1/2+),P,100.00,0,1.479,unstable,EQUAL,1.0,2,2,MEV,,,16.812,0.071,,4.75E-22
16F,,9,0-,P,100.00,0,0.536,unstable,EQUAL,40,20,20,KEV,,,10.68,0.008,,1.19E-20
17F,,9,5/2+,EC,100.00,0,2.761,unstable,EQUAL,64.49,0.16,0.16,S,,,1.951,0,,6.45E+01
